fecha;cdoperador;cdpunto_atencion;dia_semana;recaudo_cat_I;recaudo_cat_II;recaudo_cat_III;recaudo_cat_IV;recaudo_cat_V;recaudo_cat_VI;recaudo_cat_VII;recaudo_cat_VIII;recaudo_total_diario;movimientos_diarios_operador
20/01/2025;1;3;Lunes;0.00;0.00;2648800.00;5824200.00;81979300.00;0.00;1632000.00;1848000.00;93932300.00;7207
20/01/2025;1;1;Lunes;42080700.00;11052500.00;31575800.00;39026600.00;60974700.00;8071800.00;25713500.00;19212600.00;237708200.00;8075
21/01/2025;1;3;Martes;0.00;45600.00;3006200.00;5553700.00;83140700.00;0.00;1122000.00;1894200.00;94762400.00;7282
21/01/2025;1;1;Martes;44126900.00;11568500.00;35348100.00;39296800.00;59542800.00;8012000.00;25403100.00;22378400.00;245676600.00;8260
22/01/2025;1;1;Miercoles;45193500.00;10523900.00;34106700.00;38875900.00;61702900.00;8925400.00;24964200.00;20757100.00;245049600.00;8281
22/01/2025;1;3;Miercoles;0.00;-45600.00;2528800.00;5503600.00;88729500.00;0.00;884000.00;1706900.00;99307200.00;7667
23/01/2025;1;1;Jueves;49003200.00;10174700.00;36526600.00;40550000.00;64350700.00;8136800.00;28754200.00;20402300.00;257898500.00;8644
23/01/2025;1;3;Jueves;0.00;0.00;2618700.00;5503800.00;88673200.00;34000.00;1054000.00;1786400.00;99670100.00;7692
24/01/2025;1;1;Viernes;47275300.00;11908300.00;34149800.00;40798600.00;70914600.00;8252700.00;26497400.00;19841800.00;259638500.00;8919
24/01/2025;1;3;Viernes;102200.00;0.00;2975400.00;5374300.00;93606600.00;-34000.00;680000.00;1509200.00;104213700.00;8057
25/01/2025;1;1;Sabado;36765500.00;7285300.00;23395800.00;34527300.00;82191700.00;6624100.00;18451800.00;14407200.00;223648700.00;8339
25/01/2025;1;3;Sabado;0.00;0.00;1620200.00;5052900.00;96816700.00;0.00;510000.00;970200.00;104970000.00;8144
26/01/2025;1;3;Domingo;0.00;0.00;215600.00;3426900.00;77190300.00;0.00;0.00;15400.00;80848200.00;6291
26/01/2025;1;1;Domingo;13072000.00;3620900.00;6031000.00;32546400.00;85602800.00;2816300.00;3889600.00;4315200.00;151894200.00;6768
27/01/2025;1;3;Lunes;0.00;0.00;2664200.00;5580600.00;80522100.00;102000.00;986000.00;1724800.00;91579700.00;7050
27/01/2025;1;1;Lunes;49114900.00;9573200.00;33653000.00;38588800.00;61312600.00;7851600.00;24481800.00;19753900.00;244329800.00;8191
28/01/2025;1;1;Martes;44935500.00;9994800.00;35831200.00;38003800.00;60025400.00;10160800.00;24843600.00;21114500.00;244909600.00;8247
28/01/2025;1;3;Martes;102200.00;0.00;3033800.00;5866700.00;84341000.00;102000.00;646000.00;1386000.00;95477700.00;7353
29/01/2025;1;3;Miercoles;0.00;0.00;2963200.00;6048700.00;87481800.00;102000.00;918000.00;1647800.00;99161500.00;7651
29/01/2025;1;1;Miercoles;50706400.00;9926100.00;37168300.00;37820700.00;62331800.00;7326700.00;20854900.00;20646600.00;246781500.00;8365
